"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeamId","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"4694505","109330","2729","William & Mary","CAA","13","Las Vegas","2025","99","3","35","Charles Grant","Offensive Tackle","77","311","85","8","75","Portsmouth","VA","USA","36.8354258","-76.2982742","51740"
"4565200","109410","98","Western Kentucky","Conference USA","25","San Francisco","2025","100","3","36","Upton Stout","Cornerback","69","181","128","14","65","Houston","TX","USA","29.7589382","-95.3676974","48201"
"4603189","109422","99","LSU","SEC","7","Denver","2025","101","3","37","Sai'vion Jones","Defensive Edge","77","280","100","16","71","Vacherie","LA","USA","30.0110358","-90.7195356","22093"
"4565185","109447","120","Maryland","Big Ten","16","Minnesota","2025","102","3","38","Tai Felton","Wide Receiver","73","183","75","12","77","Ashburn","VA","USA","39.0437192","-77.4874899","51107"
"4431268","109453","57","Florida","SEC","10","Tennessee","2025","103","4","1","Chimere Dike","Wide Receiver","73","196","173","19","55","Waukesha","WI","USA","43.0116784","-88.2314813","55133"
"4882093","109443","259","Virginia Tech","ACC","30","Jacksonville","2025","104","4","2","Bhayshul Tuten","Running Back","69","206","131","13","64","Paulsboro","NJ","USA","39.830391","-75.2404608","34015"
"4696981","109307","9","Arizona State","Big 12","19","New York","2025","105","4","3","Cam Skattebo","Running Back","70","219","78","6","76","Rio Linda","CA","USA","38.6873975","-121.4593775259687","06067"
"4428930","110242","25","California","ACC","17","New England","2025","106","4","4","Craig Woodson","Safety","72","200","176","12","54","Grand Prairie","TX","USA","32.657368000000005","-97.02846624175038","48113"
"4427716","109454","87","Notre Dame","FBS Independents","30","Jacksonville","2025","107","4","5","Jack Kiser","Linebacker","74","231","164","11","57","Royal Center","IN","USA","40.8644849","-86.4997266","18017"
"4432775","110155","2633","Tennessee","SEC","13","Las Vegas","2025","108","4","6","Dont'e Thornton Jr.","Wide Receiver","77","205","237","26","43","Baltimore","MD","USA","39.2908816","-76.610759","24510"
"4831989","109224","96","Kentucky","SEC","2","Buffalo","2025","109","4","7","Deone Walker","Defensive Tackle","79","331","125","14","66","Detroit","MI","USA","42.3315509","-83.0466403","26163"
"4429105","109431","61","Georgia","SEC","20","New York","2025","110","4","8","Arian Smith","Wide Receiver","72","179","257","29","41","Bradley","FL","USA","27.7953069","-81.9803629","12105"
"4569586","109300","158","Nebraska","Big Ten","21","Philadelphia","2025","111","4","9","Ty Robinson","Defensive Tackle","77","288","87","12","74","Gilbert","AZ","USA","33.3527632","-111.7890373","04013"
"4683215","109278","201","Oklahoma","SEC","18","New Orleans","2025","112","4","10","Danny Stutsman","Linebacker","75","233","114","5","68","Windermere","FL","USA","28.4944695","-81.5345547","12095"
"4686308","109298","84","Indiana","Big Ten","25","San Francisco","2025","113","4","11","CJ West","Defensive Tackle","73","316","195","22","51","La Grange Park","IL","USA","41.8333646","-87.8677324","17031"
"4685350","109259","61","Georgia","SEC","29","Carolina","2025","114","4","12","Trevor Etienne","Running Back","69","198","147","14","60","Jennings","LA","USA","30.2224284","-92.657085","29189"
"4429071","109321","194","Ohio State","Big Ten","22","Arizona","2025","115","4","13","Cody Simon","Linebacker","74","229","120","6","67","Jersey City","NJ","USA","40.7281575","-74.0776417","34017"
"4429059","109435","30","USC","Big Ten","34","Houston","2025","116","4","14","Woody Marks","Running Back","70","207","172","16","55","Atlanta","GA","USA","33.7490987","-84.3901849","13121"
"4710341","109364","2","Auburn","SEC","14","Los Angeles","2025","117","4","15","Jarquez Hunter","Running Back","69","204","188","18","52","Philadelphia","MS","USA","32.7703841","-89.1153488","28099"
"4431194","109265","201","Oklahoma","SEC","1","Atlanta","2025","118","4","16","Billy Bowman Jr.","Safety","70","192","102","7","70","Denton","TX","USA","33.2150386","-97.1330516","48121"
"4431519","109255","228","Clemson","ACC","4","Cincinnati","2025","119","4","17","Barrett Carter","Linebacker","72","231","155","9","59","Suwanee","GA","USA","34.0514898","-84.0712997","13135"
"4686728","109264","251","Texas","SEC","10","Tennessee","2025","120","4","18","Gunnar Helm","Tight End","77","241","79","6","76","Englewood","CO","USA","39.6482059","-104.9879641","08005"
"5085355","109432","2110","Central Arkansas","UAC","27","Tampa Bay","2025","121","4","19","David Walker","Defensive Edge","73","263","138","23","62","Stuttgart","AR","USA","34.5003748","-91.5526281","05001"
"4429110","109353","194","Ohio State","Big Ten","29","Carolina","2025","122","4","20","Lathan Ransom","Safety","72","206","129","10","65","Tucson","AZ","USA","32.2228765","-110.9748477","04019"
"4431590","109233","194","Ohio State","Big Ten","23","Pittsburgh","2025","123","4","21","Jack Sawyer","Defensive Edge","76","260","117","19","67","Pickerington","OH","USA","39.896277299999994","-82.77319049748806","39045"
"4683643","109388","251","Texas","SEC","9","Green Bay","2025","124","4","22","Barryn Sorrell","Defensive Edge","75","256","127","20","65","New Orleans","LA","USA","29.9499323","-90.0701156","22071"
"4432333","109227","2579","South Carolina","SEC","24","Los Angeles","2025","125","4","23","Kyle Kennard","Defensive Edge","76","254","130","21","64","Atlanta","GA","USA","33.7490987","-84.3901849","13121"
"5081397","109312","2633","Tennessee","SEC","5","Cleveland","2025","126","4","24","Dylan Sampson","Running Back","68","200","80","7","75","Baton Rouge","LA","USA","30.4459596","-91.18738","22033"
"4892240","109442","66","Iowa State","Big 12","11","Indianapolis","2025","127","4","25","Jalen Travis","Offensive Tackle","80","339","160","16","58","Minneapolis","MN","USA","44.9772995","-93.2654692","27053"
"4602667","109448","259","Virginia Tech","ACC","28","Washington","2025","128","4","26","Jaylin Lane","Wide Receiver","70","191","73","11","78","Clover","SC","USA","44.0380716","-87.7016818","55071"
"4698244","110001","25","California","ACC","33","Baltimore","2025","129","4","27","Teddye Buchanan","Linebacker","74","233","269","23","39","South San Francisco","CA","USA","37.6549493","-122.4081251","06081"
"4692024","109351","333","Alabama","SEC","20","New York","2025","130","4","28","Malachi Moore","Safety","71","196","197","14","50","Trussville","AL","USA","33.626629","-86.5549335251678","01073"
"4428350","109273","97","Louisville","ACC","18","New Orleans","2025","131","4","29","Quincy Riley","Cornerback","71","194","86","10","74","Columbia","SC","USA","34.0007493","-81.0343313","45079"
"4429970","109994","120","Maryland","Big Ten","3","Chicago","2025","132","4","30","Ruben Hyppolite II","Linebacker","","","","","","Hollywood","FL","USA","26.0112014","-80.1494901","12011"
"5082630","109270","328","Utah State","Mountain West","12","Kansas City","2025","133","4","31","Jalen Royals","Wide Receiver","72","205","62","9","83","Powder Springs","GA","USA","33.8595492","-84.683824","13067"
"4692048","109430","333","Alabama","SEC","7","Denver","2025","134","4","32","Que Robinson","Defensive Edge","76","243","133","22","64","Birmingham","AL","USA","33.5206824","-86.8024326","01073"
"4429109","109359","2579","South Carolina","SEC","13","Las Vegas","2025","135","4","33","Tonka Hemingway","Defensive Tackle","75","284","144","16","60","Conway","SC","USA","33.8360035","-79.0478143","45051"
"4883647","109229","24","Stanford","ACC","10","Tennessee","2025","136","4","34","Elic Ayomanor","Wide Receiver","74","206","106","15","70","Medicine Hat","AB","Canada","","",""
"4611993","109419","52","Florida State","ACC","17","New England","2025","137","4","35","Joshua Farmer","Defensive Tackle","75","305","76","11","76","Port Saint Joe","FL","USA","29.8118757","-85.302974","12045"
"4431466","110135","145","Ole Miss","SEC","25","San Francisco","2025","138","4","36","Jordan Watkins","Wide Receiver","71","196","211","23","48","Louisville","KY","USA","38.2542376","-85.759407","21111"
"4629149","109457","61","Georgia","SEC","16","Minnesota","2025","139","5","1","Tyrion Ingram-Dawkins","Defensive Edge","77","276","107","18","69","Gaffney","SC","USA","35.0717945","-81.6498195","45021"
"4687513","109452","57","Florida","SEC","29","Carolina","2025","140","5","2","Cam Jackson","Defensive Tackle","78","328","189","21","52","Haynesville","LA","USA","32.9620847","-93.1401647","22027"
"4769895","109428","2010","Alabama A&M","SWAC","33","Baltimore","2025","141","5","3","Carson Vinson","Offensive Tackle","79","314","209","19","49","Cary","NC","USA","35.7883046","-78.7811964","37183"
"4430838","109436","87","Notre Dame","FBS Independents","26","Seattle","2025","142","5","4","Rylie Mills","Defensive Tackle","77","291","232","28","44","Lake Bluff","IL","USA","42.2789117","-87.8342362","17097"
"4837188","109426","120","Maryland","Big Ten","15","Miami","2025","143","5","5","Jordan Phillips","Defensive Tackle","74","312","222","27","46","Orlando","FL","USA","28.5421109","-81.3790304","12095"
"4432762","109192","38","Colorado","Big 12","5","Cleveland","2025","144","5","6","Shedeur Sanders","Quarterback","74","212","35","2","87","Canton","TX","USA","32.555664","-95.8640507","48467"
"4689651","109399","2116","UCF","Big 12","21","Philadelphia","2025","145","5","7","Mac McWilliams","Cornerback","70","191","262","30","40","Pensacola","FL","USA","30.421309","-87.2169149","12033"
"4431424","109301","99","LSU","SEC","17","New England","2025","146","5","8","Bradyn Swinson","Defensive Edge","76","255","82","14","75","Douglasville","GA","USA","33.7514966","-84.7477136","13097"
"4685397","109299","2483","Oregon","Big Ten","25","San Francisco","2025","147","5","9","Jordan James","Running Back","70","205","109","10","69","Nashville","TN","USA","36.1622296","-86.7743531","47037"
"4431118","109372","194","Ohio State","Big Ten","14","Los Angeles","2025","148","5","10","Ty Hamilton","Defensive Tackle","75","299","159","18","58","Pickerington","OH","USA","39.896277299999994","-82.77319049748806","39045"
"4685279","109446","251","Texas","SEC","6","Dallas","2025","149","5","12","Jaydon Blue","Running Back","69","196","181","17","54","Houston","TX","USA","29.7589382","-95.3676974","48201"
"4432730","109479","57","Florida","SEC","15","Miami","2025","150","5","13","Jason Marshall Jr.","Cornerback","72","194","255","29","41","Miami","FL","USA","25.7742658","-80.1936589","12086"
"4874509","109437","2306","Kansas State","Big 12","11","Indianapolis","2025","151","5","14","DJ Giddens","Running Back","72","212","104","9","70","Junction City","KS","USA","39.0286093","-96.8313978","20061"
"4685400","109433","57","Florida","SEC","6","Dallas","2025","152","5","16","Shemar James","Linebacker","73","222","208","17","49","Mobile","AL","USA","30.6943566","-88.0430541","01097"
"4429010","109350","2390","Miami","ACC","4","Cincinnati","2025","153","5","17","Jalen Rivers","Offensive Guard","78","319","154","11","59","Jacksonville","FL","USA","30.3321838","-81.655651","12031"
"4686362","109384","2509","Purdue","Big Ten","19","New York","2025","154","5","18","Marcus Mbow","Offensive Guard","76","303","88","6","74","Wauwatosa","WI","USA","43.0494122","-88.0079271","55079"
"4431664","109413","120","Maryland","Big Ten","15","Miami","2025","155","5","19","Dante Trader Jr.","Safety","71","196","270","18","39","Delmar","DE","USA","38.4565052","-75.5771471","10005"
"4602389","109445","2483","Oregon","Big Ten","12","Kansas City","2025","156","5","20","Jeffrey Bassa","Linebacker","73","232","145","8","60","West Valley City","UT","USA","40.696629","-111.9867271","49035"
"4690795","109342","2567","SMU","ACC","27","Tampa Bay","2025","157","5","21","Elijah Roberts","Defensive Edge","76","285","193","28","51","Miami","FL","USA","25.7742658","-80.1936589","12086"
"4430870","110131","2","Auburn","SEC","24","Los Angeles","2025","158","5","22","KeAndre Lambert-Smith","Wide Receiver","73","190","261","30","40","Norfolk","VA","USA","36.8462923","-76.2929252","51710"
"4683059","109668","197","Oklahoma State","Big 12","9","Green Bay","2025","159","5","23","Collin Oliver","Linebacker","74","240","244","20","42","Oklahoma City","OK","USA","35.4729886","-97.5170536","40109"
"4693337","109675","2306","Kansas State","Big 12","25","San Francisco","2025","160","5","24","Marques Sigle","Safety","71","199","187","13","53","Omaha","NE","USA","41.2587459","-95.9383758","31055"
"4431573","109281","61","Georgia","SEC","21","Philadelphia","2025","161","5","25","Smael Mondon Jr.","Linebacker","74","224","124","7","65","Dallas","GA","USA","33.9237141","-84.8407732","13223"
"4700136","109339","2390","Miami","ACC","20","New York","2025","162","5","26","Francisco Mauigoa","Linebacker","74","233","252","21","42","ILI'ILI","","American Samoa","","",""
"4683243","109317","87","Notre Dame","FBS Independents","29","Carolina","2025","163","5","27","Mitchell Evans","Tight End","77","258","97","8","71","Wadsworth","OH","USA","41.0256101","-81.7298519","39103"
"4430947","109473","2294","Iowa","Big Ten","23","Pittsburgh","2025","164","5","28","Yahya Black","Defensive Tackle","78","336","198","23","50","Marshall","MN","USA","44.4469635","-95.7886581","27083"
"4595342","109411","183","Syracuse","ACC","24","Los Angeles","2025","165","5","29","Oronde Gadsden II","Tight End","77","243","215","15","48","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"4597703","109379","36","Colorado State","Mountain West","26","Seattle","2025","166","5","30","Tory Horton","Wide Receiver","75","196","91","13","73","Fresno","CA","USA","36.7295295","-119.70886126075588","06019"
"4876319","109427","16","Sacramento State","Big Sky","10","Tennessee","2025","167","5","31","Jackson Slater","Offensive Guard","75","311","170","12","56","Bellevue","WA","USA","47.6144219","-122.1923372","53033"
"4567802","109395","103","Boston College","ACC","21","Philadelphia","2025","168","5","32","Drew Kendall","Center","76","308","161","3","57","Norwell","MA","USA","42.1617681","-70.7939307","25023"
"4572685","109831","2636","UTSA","American Athletic","3","Chicago","2025","169","5","33","Zah Frazier","Cornerback","75","186","110","13","69","Cedartown","GA","USA","34.0124425","-85.2559398","13233"
"4596480","109483","194","Ohio State","Big Ten","2","Buffalo","2025","170","5","34","Jordan Hancock","Cornerback","72","195","191","21","52","Suwanee","GA","USA","34.0514898","-84.0712997","13135"
"4608890","109425","99","LSU","SEC","8","Detroit","2025","171","5","35","Miles Frazier","Offensive Guard","78","317","90","7","73","Camden","NJ","USA","39.9448402","-75.1198911","34007"
"4602943","109316","145","Ole Miss","SEC","14","Los Angeles","2025","172","5","36","Chris Paul Jr.","Linebacker","73","222","112","4","68","Cordele","GA","USA","31.9635074","-83.7823938","13081"
"4573699","109397","59","Georgia Tech","ACC","2","Buffalo","2025","173","5","37","Jackson Hawes","Tight End","77","253","126","9","66","Salt Lake City","UT","USA","40.7596198","-111.8867975","49035"
"4432668","109261","194","Ohio State","Big Ten","22","Arizona","2025","174","5","38","Denzel Burke","Cornerback","71","186","156","18","59","Scottsdale","AZ","USA","33.4942189","-111.9260184","04013"
"4691688","109416","333","Alabama","SEC","26","Seattle","2025","175","5","39","Robbie Ouzts","Tight End","75","274","305","20","34","Rock Hill","SC","USA","34.9248667","-81.0250784","45091"
"4692555","109252","2390","Miami","ACC","20","New York","2025","176","5","40","Tyler Baron","Defensive Edge","77","258","140","24","61","Knoxville","TN","USA","35.9603948","-83.9210261","47093"
"4568703","109305","259","Virginia Tech","ACC","2","Buffalo","2025","177","6","1","Dorian Strong","Cornerback","73","185","134","15","63","Upper Marlboro","MD","USA","38.8165274","-76.7519753","24033"
"5083656","109401","2711","Western Michigan","Mid-American","33","Baltimore","2025","178","6","2","Bilhal Kone","Cornerback","73","190","212","24","48","Apple Valley","MN","USA","44.7319094","-93.21772","27037"
"4711533","109237","197","Oklahoma State","Big 12","15","Miami","2025","179","6","3","Ollie Gordon II","Running Back","73","226","225","22","46","Fort Worth","TX","USA","32.753177","-97.3327459","48439"
"4430896","109311","145","Ole Miss","SEC","13","Las Vegas","2025","180","6","4","JJ Pegues","Defensive Tackle","75","309","121","13","67","Oxford","MS","USA","34.3664127","-89.5187664","28071"
"4433971","109377","183","Syracuse","ACC","21","Philadelphia","2025","181","6","5","Kyle McCord","Quarterback","75","218","165","8","56","Philadelphia","PA","USA","39.9527237","-75.1635262","42101"
"4569923","109939","2390","Miami","ACC","17","New England","2025","182","6","6","Andres Borregales","Place Kicker","71","170","273","1","38","Miami","FL","USA","25.7742658","-80.1936589","12086"
"4570469","109812","25","California","ACC","10","Tennessee","2025","183","6","7","Marcus Harris","Cornerback","71","189","223","25","46","Portland","OR","USA","45.5202471","-122.6741949","41051"
"4682652","109387","2305","Kansas","Big 12","18","New Orleans","2025","184","6","8","Devin Neal","Running Back","71","213","101","8","70","Lawrence","KS","USA","38.9719384","-95.2359496","20045"
"4429955","109386","194","Ohio State","Big Ten","23","Pittsburgh","2025","185","6","9","Will Howard","Quarterback","76","236","105","6","70","Downingtown","PA","USA","40.0064958","-75.7032742","42029"
"4697745","109950","12","Arizona","Big 12","33","Baltimore","2025","186","6","10","Tyler Loop","Place Kicker","71","191","308","3","34","Lucas","TX","USA","33.0842854","-96.5766577","48085"
"4432758","109287","213","Penn State","Big Ten","34","Houston","2025","187","6","11","Jaylen Reed","Safety","72","211","116","9","68","Detroit","MI","USA","42.3315509","-83.0466403","26163"
"4429121","109285","130","Michigan","Big Ten","10","Tennessee","2025","188","6","12","Kalel Mullings","Running Back","74","226","231","23","45","West Roxbury","MA","USA","42.2792649","-71.1494972","25025"
"4683423","109540","87","Notre Dame","FBS Independents","11","Indianapolis","2025","189","6","13","Riley Leonard","Quarterback","76","216","183","9","54","Fairhope","AL","USA","30.507956","-87.89742922432941","01003"
"4692033","109449","333","Alabama","SEC","11","Indianapolis","2025","190","6","14","Tim Smith","Defensive Tackle","76","302","177","20","54","Gifford","FL","USA","27.672998","-80.41788843483906","12061"
"4429000","109476","130","Michigan","Big Ten","21","Philadelphia","2025","191","6","15","Myles Hinton","Offensive Tackle","79","323","219","21","47","Johns Creek","GA","USA","34.0181557","-84.190196","13121"
"4612077","109507","2305","Kansas","Big 12","26","Seattle","2025","192","6","16","Bryce Cabeldue","Offensive Tackle","78","315","229","22","45","Clovis","NM","USA","34.405472","-103.2050709","35009"
"4429299","109327","2641","Texas Tech","Big 12","4","Cincinnati","2025","193","6","17","Tahj Brooks","Running Back","69","214","213","21","48","Manor","TX","USA","30.3407629","-97.5569456","48453"
"4576129","109460","2","Auburn","SEC","30","Jacksonville","2025","194","6","18","Jalen McLeod","Linebacker","74","241","190","15","52","Washington","DC","USA","38.8949855","-77.0365708","11001"
"4695895","110321","127","Michigan State","Big Ten","3","Chicago","2025","195","6","19","Luke Newman","Offensive Tackle","","","","","","Bloomfield Hills","MI","USA","42.583645","-83.2454883","26125"
"4710422","109340","68","Boise State","Mountain West","8","Detroit","2025","196","6","20","Ahmed Hassanein","Defensive Edge","74","267","274","33","38","Anaheim","CA","USA","33.8347516","-117.911732","06059"
"4426335","109536","57","Florida","SEC","34","Houston","2025","197","6","21","Graham Mertz","Quarterback","","","","","","Overland Park","KS","USA","38.9742502","-94.6851702","20091"
"4429136","108598","61","Georgia","SEC","9","Green Bay","2025","198","6","22","Warren Brinson","Defensive Tackle","77","315","268","31","39","Bradenton","FL","USA","27.4989278","-82.5748194","12081"
"4433914","109482","221","Pittsburgh","ACC","24","Los Angeles","2025","199","6","23","Branson Taylor","Offensive Tackle","78","321","235","23","44","Lorain","OH","USA","41.4673238","-82.1781904","39093"
"4880675","109513","2426","Navy","American Athletic","30","Jacksonville","2025","200","6","24","Rayuan Lane III","Safety","71","200","290","20","36","Jessup","MD","USA","39.1492746","-76.7752493","24003"
"4588300","109467","213","Penn State","Big Ten","16","Minnesota","2025","201","6","25","Kobe King","Linebacker","73","236","166","12","56","Detroit","MI","USA","42.3315509","-83.0466403","26163"
"4708049","109406","221","Pittsburgh","ACC","16","Minnesota","2025","202","6","26","Gavin Bartholomew","Tight End","77","246","230","16","45","Schuylkill Haven","PA","USA","40.6306464","-76.171054","42107"
"4690143","109417","38","Colorado","Big 12","33","Baltimore","2025","203","6","27","LaJohntay Wester","Wide Receiver","70","163","340","43","33","Palmetto","FL","USA","27.5214269","-82.5723193","12081"
"4696203","109240","2483","Oregon","Big Ten","6","Dallas","2025","204","6","28","Ajani Cornelius","Offensive Tackle","77","310","148","14","60","New York","NY","USA","40.7127281","-74.0060152","36061"
"4427984","109510","26","UCLA","Big Ten","28","Washington","2025","205","6","29","Kain Medrano","Linebacker","75","222","199","16","50","Pueblo","CO","USA","38.2544472","-104.609141","08101"
"4427843","109251","41","UConn","FBS Independents","2","Buffalo","2025","206","6","30","Chase Lundt","Offensive Tackle","80","304","152","15","59","Arlington","TX","USA","32.701938999999996","-97.10562379033699","48439"
"4685590","109291","251","Texas","SEC","21","Philadelphia","2025","207","6","31","Cameron Williams","Offensive Tackle","78","317","113","10","68","Duncanville","TX","USA","32.6518004","-96.9083366","48113"
"4708486","109502","38","Colorado","Big 12","29","Carolina","2025","208","6","32","Jimmy Horn Jr.","Wide Receiver","68","174","310","35","34","Sanford","FL","USA","28.8117297","-81.2680345","12117"
"4429009","109322","259","Virginia Tech","ACC","21","Philadelphia","2025","209","6","33","Antwaun Powell-Ryland","Defensive Edge","75","258","171","26","56","Portsmouth","VA","USA","36.8354258","-76.2982742","51740"
"4565311","109310","259","Virginia Tech","ACC","33","Baltimore","2025","210","6","34","Aeneas Peebles","Defensive Tackle","73","282","151","17","59","Raleigh","NC","USA","35.7803977","-78.6390989","37183"
